,Season,1stA,2ndA,3rdA,4thA,FinalA,MLA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,FinalB,MLB,TeamB,Date,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,winning_name,losing_name
12204,2017,26.0,36.0,27.0,26.0,115.0,-135.0,Phoenix Suns,V,25.0,37.0,112.5,30.0,30.0,122.0,115.0,Los Angeles Lakers,12-24-2016,237.0,220.5,222.5,2.0,1.5,-7.0,Los Angeles Lakers,Phoenix Suns
12205,2017,24.0,20.0,18.0,17.0,79.0,290.0,Oklahoma City Thunder,V,24.0,22.0,4.0,24.0,19.0,89.0,-350.0,Portland Trail Blazers,12-24-2016,168.0,197.5,201.5,-7.5,-7.0,-10.0,Portland Trail Blazers,Oklahoma City Thunder
12206,2017,17.0,21.0,26.0,21.0,85.0,135.0,Miami Heat,V,25.0,30.0,93.5,19.0,22.0,96.0,-155.0,Philadelphia 76ers,12-26-2016,181.0,191.5,191.5,-1.5,-3.0,-11.0,Philadelphia 76ers,Miami Heat
12207,2017,25.0,20.0,25.0,25.0,95.0,130.0,Indiana Pacers,V,23.0,29.0,101.0,24.0,31.0,107.0,-150.0,Atlanta Hawks,12-26-2016,202.0,199.5,203.0,-2.0,-2.5,-12.0,Atlanta Hawks,Indiana Pacers
12208,2017,41.0,17.0,23.0,27.0,108.0,190.0,Washington Wizards,V,30.0,25.0,4.5,19.0,30.0,104.0,-230.0,Charlotte Hornets,12-26-2016,212.0,188.0,191.0,-4.5,-5.0,4.0,Washington Wizards,Charlotte Hornets
12209,2017,31.0,20.0,25.0,20.0,96.0,575.0,New York Knicks,V,26.0,24.0,7.5,29.0,31.0,110.0,-725.0,Orlando Magic,12-26-2016,206.0,200.5,200.0,-10.5,-11.0,-14.0,Orlando Magic,New York Knicks
12210,2017,26.0,19.0,31.0,25.0,101.0,-215.0,Detroit Pistons,V,24.0,20.0,93.0,18.0,21.0,83.0,185.0,Brooklyn Nets,12-26-2016,184.0,185.5,184.0,5.0,5.0,18.0,Detroit Pistons,Brooklyn Nets
12211,2017,27.0,25.0,34.0,30.0,116.0,-130.0,New Orleans Pelicans,V,29.0,21.0,99.0,23.0,25.0,98.0,110.0,Memphis Grizzlies,12-26-2016,214.0,201.0,200.5,3.0,2.0,18.0,New Orleans Pelicans,Memphis Grizzlies
12212,2017,22.0,17.0,20.0,20.0,79.0,425.0,Chicago Bulls,V,21.0,30.0,1.0,21.0,22.0,94.0,-525.0,San Antonio Spurs,12-26-2016,173.0,186.5,186.5,-9.5,-9.5,-15.0,San Antonio Spurs,Chicago Bulls
12213,2017,17.0,21.0,28.0,39.0,105.0,355.0,Milwaukee Bucks,V,28.0,40.0,101.5,27.0,30.0,125.0,-425.0,Denver Nuggets,12-26-2016,230.0,209.0,210.5,-8.0,-8.5,-20.0,Denver Nuggets,Milwaukee Bucks
12214,2017,18.0,28.0,24.0,20.0,90.0,150.0,Dallas Mavericks,V,29.0,18.0,1.5,31.0,21.0,99.0,-170.0,Utah Jazz,12-26-2016,189.0,204.0,203.5,-2.0,-3.5,-9.0,Utah Jazz,Dallas Mavericks
12215,2017,18.0,35.0,13.0,23.0,89.0,-350.0,Boston Celtics,V,16.0,13.0,3.0,27.0,13.0,69.0,290.0,Sacramento Kings,12-26-2016,158.0,187.5,191.0,6.0,7.5,20.0,Boston Celtics,Sacramento Kings
